Date,User,Tweet
2013-12-21 08:34:53+00:00,sambitswaraj,"Adarsh Scam Report has been trashed as a ""Nonsense"" by Maharashtra govt..Sehzada!! Will u not get angry &amp; designate this act as a ""Nonsense"""
2013-12-21 07:43:30+00:00,sambitswaraj,"Jayanti Natrajan resigns from Govt &amp; ""Returns"" to the Party..RahulG you still think such ""Returns"" are going to give Congress any ""Return""??"
2013-12-21 04:53:00+00:00,sambitswaraj,Now we get to hear of an 'Adarsh' angle to 'Not-so-Adarsh' treatment by US on an Indian Diplomat..hmm
2013-12-21 04:19:36+00:00,sambitswaraj,GM ..was good at the @ibnlive (CNN-IBN) Indian of the year award yesterday evening :-)
2013-12-20 14:00:37+00:00,sambitswaraj,"I hv decided nt 2 take ths matter any further,Civil Politics is bout forgiveness &amp; envisaging a larger Vision,petty issues should be ignored"
2013-12-20 13:23:25+00:00,sambitswaraj,Though it might have been d AAP Spokesman emotional outburst...but I firmly believe that present day politics should be Civil and respectful
2013-12-20 13:19:56+00:00,sambitswaraj,2day1of d AAP Spokesman during a TV Debate brutally fought wid me n after d shw threatened 2 harm me physically by his goons @ArvindKejriwal
2013-12-20 12:16:31+00:00,sambitswaraj,Today 20th Dec I would also be on @SaharaSamay at 6pm...pls watch
2013-12-20 11:30:11+00:00,sambitswaraj,INDIA NEWS Debate starts now at 5pm...pls watch..
2013-12-20 10:40:20+00:00,sambitswaraj,Friends today (20/12/13) I would be on @indianews (INDIA NEWS) at 5pm #whowillformgovt in Delhi?
2013-12-20 10:36:48+00:00,sambitswaraj,"Robbed of its sleep by BJP,Congress desperately seeking sleeping pill ALPRAX..in the form of RahulG's elevation as PM Candidate #NaMoInKashi"
2013-12-20 10:03:52+00:00,sambitswaraj,"SP &amp; Naresh Agarwal pulled by Modi for their very ""NON-Samajwadi"" Vision- Tea vendor can never be PM #NaMoInKashi"
2013-12-20 09:51:09+00:00,sambitswaraj,Rotting grains-breaks the Farmers both financially &amp; emotionally-hmm..is it just rotten grains or a rotting system?? #NaMoInKashi
2013-12-20 09:47:16+00:00,sambitswaraj,The hand that feeds all..sleeps hungry..@narendramodi takes up the issues of Farmers #NamoInKashi
2013-12-20 09:43:31+00:00,sambitswaraj,Ganga-Sabarmati; Gandhi-Ram Rajya; Gujrat-UP ..India needs Modi to see the best combinations of time #NaMoInKashi @narendramodi
2013-12-20 09:37:05+00:00,sambitswaraj,UP is the most fertile ground of Indian Politics #NaMoInKashi
2013-12-20 09:35:15+00:00,sambitswaraj,SANKYA Pradesh (SP) nahi UTTAM Pradesh (UP)-not just numbers in Parliament..UP should also see development #NaMoInKashi
2013-12-20 09:30:16+00:00,sambitswaraj,"""Ram Teri Ganga Maili ho gayi Papiyo ke pAAp dhote dhote""...Delhi &amp; Luknow needs cleansing #NaMoInKashi"
2013-12-20 09:19:28+00:00,sambitswaraj,"""Ganga represents the Ageless flow of the Indian culture""..very apt saying in the holly city of Kashi #NaMoInKashi"
2013-12-20 09:10:19+00:00,sambitswaraj,"''Shankanad"" starts in the ""Vijay Shankanad Rally"" #NaMoInKashi"
2013-12-20 09:08:50+00:00,sambitswaraj,The Grandmaster of Indian Politics starts his speech in Varanasi  #NaMoInKashi
2013-12-20 09:02:49+00:00,sambitswaraj,@vibhask1 :-)
2013-12-20 09:01:25+00:00,sambitswaraj,Genius &amp; Genuine combination of Piety and Politics in the air of Varanasi #NaMoInKashi
2013-12-20 08:10:39+00:00,sambitswaraj,"""REFLLIACE"" is defined as a Post-Poll alliance via Referendum..new political term in offing..."
2013-12-20 08:08:18+00:00,sambitswaraj,DMK Chief Karunanidhi says NO question of any alliance with Congress or BJP..hmm Mr Karuna don't u worry...there's always a referendum route
2013-12-20 06:41:46+00:00,sambitswaraj,Maha govt rejects d Judicial Probe on Adarsh Society Scam..now pls tell me-Is this what is 'The Right To Reject'..Reject what's inconvenient
2013-12-20 05:20:54+00:00,sambitswaraj,Did Raja Harischandra ask for referendum to speak Truth?Ideology can never be Diluted says Dr Patra to NDTV http://t.co/1y2kp4Mq7p via @ndtv
2013-12-20 04:34:02+00:00,sambitswaraj,"Pious sojourn of @narendramodi 2 politically transform Bharat,2day passes through d pious City of Varanasi..may 'KASHINATH' SHIVA bless him!"
2013-12-20 04:10:21+00:00,sambitswaraj,"'Namo' 'Namo' has been reverberating in the air of Varanasi since ages..today it would hear the Political grandmaster ""NaMo"" #NaMoInVaranasi"
2013-12-20 02:52:51+00:00,sambitswaraj,Before Mayawati cld make politically correct move..Azam Khan offers Devyani ticket frm SP..whatever d issue in India..VOTE-BANK POLITCS wins
2013-12-20 02:49:12+00:00,sambitswaraj,Azam Khan offers SP ticket 2 Devyani to contest frm UP..In India it appears 'The Ticket' is d ultimate ticket 2 solace..minority+dalit card?
2013-12-19 15:18:55+00:00,sambitswaraj,Do switch on to @ndtv India at 9pm to catch me debating with @RavishKumarNDTV #WhoWillformGovt
